state,county_name,office,district,candidate,magnitude,party,party_detailed
GEORGIA,DADE,US SENATE,GEORGIA-III,DEBORAH JACKSON,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,JAMESIA JAMES,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,A. WAYNE JOHNSON,1,REP,REPUBLICAN
GEORGIA,DADE,US SENATE,GEORGIA-III,TAMARA JOHNSON-SHEALEY,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,MATT LIEBERMAN,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,KELLY LOEFFLER,1,REP,REPUBLICAN
GEORGIA,DADE,US SENATE,GEORGIA-III,JOY FELICIA SLADE,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,BRIAN SLOWINSKI,1,LBT,LIBERTARIAN
GEORGIA,DADE,US SENATE,GEORGIA-III,VALENCIA STOVALL,1,IND,INDEPENDENT
GEORGIA,DADE,US SENATE,GEORGIA-III,ED TARVER,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,KANDISS TAYLOR,1,REP,REPUBLICAN
GEORGIA,DADE,US SENATE,GEORGIA-III,RAPHAEL WARNOCK,1,DEM,DEMOCRAT
GEORGIA,DADE,US SENATE,GEORGIA-III,RICHARD DIEN WINFIELD,1,DEM,DEMOCRAT
GEORGIA,DADE,US HOUSE,014,UNDERVOTE?,1,,undervote
GEORGIA,DADE,US HOUSE,014,MARJORIE TAYLOR GREENE,1,REP,REPUBLICAN
GEORGIA,DADE,US HOUSE,014,KEVIN VAN AUSDAL,1,DEM,DEMOCRAT
GEORGIA,DADE,US HOUSE,014,WRITE-IN,1,,
GEORGIA,DADE,STATE SENATE,053,UNDERVOTE?,1,,undervote
GEORGIA,DADE,STATE SENATE,053,JEFF MULLIS,1,REP,REPUBLICAN
GEORGIA,DADE,STATE SENATE,053,WRITE-IN,1,,
GEORGIA,DADE,STATE HOUSE,001,UNDERVOTE?,1,,undervote
GEORGIA,DADE,STATE HOUSE,001,MIKE CAMERON,1,REP,REPUBLICAN
GEORGIA,DADE,STATE HOUSE,001,WRITE-IN,1,,
GEORGIA,DAWSON,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
GEORGIA,DAWSON,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
GEORGIA,DAWSON,US PRESIDENT,FEDERAL,WRITE-IN,1,,
GEORGIA,DAWSON,US SENATE,GEORGIA,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,US SENATE,GEORGIA,DAVID A. PERDUE,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA,JON OSSOFF,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA,SHANE HAZEL,1,LBT,LIBERTARIAN
GEORGIA,DAWSON,US SENATE,GEORGIA,WRITE-IN,1,,
GEORGIA,DAWSON,US SENATE,GEORGIA-III,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,US SENATE,GEORGIA-III,AL BARTELL,1,IND,INDEPENDENT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,ALLEN BUCKLEY,1,IND,INDEPENDENT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,DOUG COLLINS,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,JOHN FORTUIN,1,GRN,GREEN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,DERRICK E. GRAYSON,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,MICHAEL TODD GREENE,1,IND,INDEPENDENT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,ANNETTE DAVIS JACKSON,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,DEBORAH JACKSON,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,JAMESIA JAMES,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,A. WAYNE JOHNSON,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,TAMARA JOHNSON-SHEALEY,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,MATT LIEBERMAN,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,KELLY LOEFFLER,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,JOY FELICIA SLADE,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,BRIAN SLOWINSKI,1,LBT,LIBERTARIAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,VALENCIA STOVALL,1,IND,INDEPENDENT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,ED TARVER,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,KANDISS TAYLOR,1,REP,REPUBLICAN
GEORGIA,DAWSON,US SENATE,GEORGIA-III,RAPHAEL WARNOCK,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,RICHARD DIEN WINFIELD,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US SENATE,GEORGIA-III,WRITE-IN,1,,
GEORGIA,DAWSON,US HOUSE,009,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,US HOUSE,009,ANDREW CLYDE,1,REP,REPUBLICAN
GEORGIA,DAWSON,US HOUSE,009,DEVIN PANDY,1,DEM,DEMOCRAT
GEORGIA,DAWSON,US HOUSE,009,WRITE-IN,1,,
GEORGIA,DAWSON,STATE SENATE,051,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,STATE SENATE,051,STEVE GOOCH,1,REP,REPUBLICAN
GEORGIA,DAWSON,STATE SENATE,051,JUNE KRISE,1,DEM,DEMOCRAT
GEORGIA,DAWSON,STATE SENATE,051,WRITE-IN,1,,
GEORGIA,DAWSON,STATE HOUSE,007,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,STATE HOUSE,007,DAVID RALSTON,1,REP,REPUBLICAN
GEORGIA,DAWSON,STATE HOUSE,007,RICK D. DAY,1,DEM,DEMOCRAT
GEORGIA,DAWSON,STATE HOUSE,007,WRITE-IN,1,,
GEORGIA,DAWSON,STATE HOUSE,009,UNDERVOTE?,1,,undervote
GEORGIA,DAWSON,STATE HOUSE,009,WILL WADE,1,REP,REPUBLICAN
GEORGIA,DAWSON,STATE HOUSE,009,SHARON L. RAVERT,1,DEM,DEMOCRAT
GEORGIA,DAWSON,STATE HOUSE,009,WRITE-IN,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,WRITE-IN,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,LOREN COLLINS,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,DAVID BYRNE,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,DON BLANKENSHIP,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,JADE SIMMONS,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,PETER SHERRILL,1,,
GEORGIA,DEKALB,US PRESIDENT,FEDERAL,SHAWN HOWARD,1,,
GEORGIA,DEKALB,US SENATE,GEORGIA,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,US SENATE,GEORGIA,DAVID A. PERDUE,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA,JON OSSOFF,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA,SHANE HAZEL,1,LBT,LIBERTARIAN
GEORGIA,DEKALB,US SENATE,GEORGIA,WRITE-IN,1,,
GEORGIA,DEKALB,US SENATE,GEORGIA-III,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,US SENATE,GEORGIA-III,AL BARTELL,1,IND,INDEPENDENT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,ALLEN BUCKLEY,1,IND,INDEPENDENT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,DOUG COLLINS,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,JOHN FORTUIN,1,GRN,GREEN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,DERRICK E. GRAYSON,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,MICHAEL TODD GREENE,1,IND,INDEPENDENT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,ANNETTE DAVIS JACKSON,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,DEBORAH JACKSON,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,JAMESIA JAMES,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,A. WAYNE JOHNSON,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,TAMARA JOHNSON-SHEALEY,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,MATT LIEBERMAN,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,KELLY LOEFFLER,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,JOY FELICIA SLADE,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,BRIAN SLOWINSKI,1,LBT,LIBERTARIAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,VALENCIA STOVALL,1,IND,INDEPENDENT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,ED TARVER,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,KANDISS TAYLOR,1,REP,REPUBLICAN
GEORGIA,DEKALB,US SENATE,GEORGIA-III,RAPHAEL WARNOCK,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,RICHARD DIEN WINFIELD,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US SENATE,GEORGIA-III,WRITE-IN,1,,
GEORGIA,DEKALB,US HOUSE,004,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,US HOUSE,004,JOHSIE CRUZ EZAMMUDEEN,1,REP,REPUBLICAN
GEORGIA,DEKALB,US HOUSE,004,"HENRY C. HANK JOHNSON, JR.",1,DEM,DEMOCRAT
GEORGIA,DEKALB,US HOUSE,004,WRITE-IN,1,,
GEORGIA,DEKALB,US HOUSE,005,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,US HOUSE,005,ANGELA STANTON-KING,1,REP,REPUBLICAN
GEORGIA,DEKALB,US HOUSE,005,NIKEMA WILLIAMS,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US HOUSE,005,WRITE-IN,1,,
GEORGIA,DEKALB,US HOUSE,006,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,US HOUSE,006,KAREN HANDEL,1,REP,REPUBLICAN
GEORGIA,DEKALB,US HOUSE,006,LUCY MCBATH,1,DEM,DEMOCRAT
GEORGIA,DEKALB,US HOUSE,006,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,010,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,010,EMANUEL JONES,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,010,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,040,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,040,GARRY GUAN,1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE SENATE,040,SALLY HARRELL,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,040,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,041,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,041,WILLIAM PARK FREEMAN,1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE SENATE,041,KIM JACKSON,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,041,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,042,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,042,ELENA PARENT,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,042,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,043,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,043,MELANIE WILLIAMS,1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE SENATE,043,TONYA P. ANDERSON,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,043,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,044,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,044,BENJAMIN BROOKS,1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE SENATE,044,GAIL DAVENPORT,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,044,WRITE-IN,1,,
GEORGIA,DEKALB,STATE SENATE,055,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE SENATE,055,GLORIA S. BUTLER,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE SENATE,055,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,079,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,079,ANDREA JOHNSON,1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE HOUSE,079,MICHAEL S. WILENSKY,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,079,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,080,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,080,ALAN COLE,1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE HOUSE,080,MATTHEW WILSON,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,080,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,081,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,081,SCOTT HOLCOMB,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,081,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,082,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,082,MARY MARGARET OLIVER,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,082,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,083,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,083,BECKY EVANS,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,083,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,084,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,084,RENITTA SHANNON,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,084,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,085,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,085,KARLA DRENNER,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,085,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,086,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,086,ZULMA LOPEZ,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,086,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,087,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,087,VIOLA DAVIS,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,087,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,088,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,088,BILLY MITCHELL,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,088,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,089,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,089,BEE NGUYEN,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,089,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,090,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,090,PAM STEPHENSON,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,090,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,091,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,091,RHONDA S. TAYLOR,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,091,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,092,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,092,DOREEN CARTER,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,092,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,093,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,093,"HUBERT OWENS, JR.",1,REP,REPUBLICAN
GEORGIA,DEKALB,STATE HOUSE,093,DAR'SHUN KENDRICK,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,093,WRITE-IN,1,,
GEORGIA,DEKALB,STATE HOUSE,094,UNDERVOTE?,1,,undervote
GEORGIA,DEKALB,STATE HOUSE,094,KAREN BENNETT,1,DEM,DEMOCRAT
GEORGIA,DEKALB,STATE HOUSE,094,WRITE-IN,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,WRITE-IN,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,JADE SIMMONS,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,PRESIDENT R19 BODDIE,1,,
GEORGIA,DOUGLAS,US PRESIDENT,FEDERAL,PRINCESS JACOB-FAMBRO,1,,
GEORGIA,DOUGLAS,US SENATE,GEORGIA,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,US SENATE,GEORGIA,DAVID A. PERDUE,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA,JON OSSOFF,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA,SHANE HAZEL,1,LBT,LIBERTARIAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA,WRITE-IN,1,,
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,AL BARTELL,1,IND,INDEPENDENT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,ALLEN BUCKLEY,1,IND,INDEPENDENT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,DOUG COLLINS,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,JOHN FORTUIN,1,GRN,GREEN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,DERRICK E. GRAYSON,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,MICHAEL TODD GREENE,1,IND,INDEPENDENT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,ANNETTE DAVIS JACKSON,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,DEBORAH JACKSON,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,JAMESIA JAMES,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,A. WAYNE JOHNSON,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,TAMARA JOHNSON-SHEALEY,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,MATT LIEBERMAN,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,KELLY LOEFFLER,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,JOY FELICIA SLADE,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,BRIAN SLOWINSKI,1,LBT,LIBERTARIAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,VALENCIA STOVALL,1,IND,INDEPENDENT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,ED TARVER,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,KANDISS TAYLOR,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,RAPHAEL WARNOCK,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US SENATE,GEORGIA-III,RICHARD DIEN WINFIELD,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US HOUSE,013,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,US HOUSE,013,BECKY E. HITES,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,US HOUSE,013,DAVID SCOTT,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,US HOUSE,013,WRITE-IN,1,,
GEORGIA,DOUGLAS,US HOUSE,013,MARTIN COWEN,1,,
GEORGIA,DOUGLAS,STATE SENATE,030,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE SENATE,030,MIKE DUGAN,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,STATE SENATE,030,MONTENIA EDWARDS,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE SENATE,030,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE SENATE,035,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE SENATE,035,DONZELLA JAMES,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE SENATE,035,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE HOUSE,061,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE HOUSE,061,ROGER BRUCE,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE HOUSE,061,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE HOUSE,062,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE HOUSE,062,"WILLIAM K. BODDIE, JR.",1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE HOUSE,062,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE HOUSE,065,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE HOUSE,065,MANDISHA A. THOMAS,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE HOUSE,065,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE HOUSE,066,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE HOUSE,066,JASON C. JONES,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,STATE HOUSE,066,KIMBERLY ALEXANDER,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE HOUSE,066,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE HOUSE,067,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE HOUSE,067,MICAH GRAVLEY,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,STATE HOUSE,067,ANGELA MAYFIELD,1,DEM,DEMOCRAT
GEORGIA,DOUGLAS,STATE HOUSE,067,WRITE-IN,1,,
GEORGIA,DOUGLAS,STATE HOUSE,068,UNDERVOTE?,1,,undervote
GEORGIA,DOUGLAS,STATE HOUSE,068,J. COLLINS,1,REP,REPUBLICAN
GEORGIA,DOUGLAS,STATE HOUSE,068,WRITE-IN,1,,
GEORGIA,EARLY,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
GEORGIA,EARLY,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
GEORGIA,EARLY,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
GEORGIA,EARLY,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
GEORGIA,EARLY,US PRESIDENT,FEDERAL,WRITE-IN,1,,
GEORGIA,EARLY,US SENATE,GEORGIA,UNDERVOTE?,1,,undervote
GEORGIA,EARLY,US SENATE,GEORGIA,DAVID A. PERDUE,1,REP,REPUBLICAN
GEORGIA,EARLY,US SENATE,GEORGIA,JON OSSOFF,1,DEM,DEMOCRAT
GEORGIA,EARLY,US SENATE,GEORGIA,SHANE HAZEL,1,LBT,LIBERTARIAN
GEORGIA,EARLY,US SENATE,GEORGIA-III,UNDERVOTE?,1,,undervote
GEORGIA,EARLY,US SENATE,GEORGIA-III,AL BARTELL,1,IND,INDEPENDENT
GEORGIA,EARLY,US SENATE,GEORGIA-III,ALLEN BUCKLEY,1,IND,INDEPENDENT
GEORGIA,EARLY,US SENATE,GEORGIA-III,DOUG COLLINS,1,REP,REPUBLICAN
GEORGIA,EARLY,US SENATE,GEORGIA-III,JOHN FORTUIN,1,GRN,GREEN
GEORGIA,EARLY,US SENATE,GEORGIA-III,DERRICK E. GRAYSON,1,REP,REPUBLICAN
GEORGIA,EARLY,US SENATE,GEORGIA-III,MICHAEL TODD GREENE,1,IND,INDEPENDENT
GEORGIA,EARLY,US SENATE,GEORGIA-III,ANNETTE DAVIS JACKSON,1,REP,REPUBLICAN
GEORGIA,EARLY,US SENATE,GEORGIA-III,DEBORAH JACKSON,1,DEM,DEMOCRAT
GEORGIA,EARLY,US SENATE,GEORGIA-III,JAMESIA JAMES,1,DEM,DEMOCRAT
GEORGIA,EARLY,US SENATE,GEORGIA-III,A. WAYNE JOHNSON,1,REP,REPUBLICAN
GEORGIA,EARLY,US SENATE,GEORGIA-III,TAMARA JOHNSON-SHEALEY,1,DEM,DEMOCRAT
GEORGIA,EARLY,US SENATE,GEORGIA-III,MATT LIEBERMAN,1,DEM,DEMOCRAT
GEORGIA,EARLY,US SENATE,GEORGIA-III,KELLY LOEFFLER,1,REP,REPUBLICAN
