state,office,district,candidate_medsl,candidate_harvard,party_detailed,issue,writein,fixed error?
NEW JERSEY,US PRESIDENT,FEDERAL,CLAUDELIAN ROZE AND JADE SIMMONS,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CLIFFORD DODO,CLIFFORD DODO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CLYDE MAGARELLI,CLYDE MAGARELLI,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,COBRA COMMANDER,COBRA COMMANDER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,COLIN POWELL,COLIN POWELL,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,COLIN POWELL AND NIKKI HALEY,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,COLIN POWELL CONDOLEEZZA RICE,COLIN POWELL & CONDOLEEZZA RICE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,COLIN POWELL DR RASHIED MC CLOWY,COLIN POWELL & DR RASHIED MCCLOWY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CONDIE RICE,CONDIE RICE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CONDOLEEZA RICE,CONDOLEEZA RICE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CONDOLEEZZA RICE,CONDOLEEZZA RICE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CONDOLEEZZA RICE AND BEN CARSON,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CONDOLEZZA RICE,CONDOLEZZA RICE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CONNOR SAGGIO,CONNOR SAGGIO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CORY BOOKER,CORY BOOKER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CRACK ON A STICK,CRACK ON A. STICK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CTHULHU,CTHULHU,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,CYNTHIA MCKINNEY,CYNTHIA MCKINNEY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAMON VARADY,DAMON VARADY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAN CRENSHAW,DAN CRENSHAW,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAN CRENSHAW AND TULSI GRABBARD,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAN WILLIAN,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL BECKELMAN,DANIEL BECKELMAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL CASSIDY,DANIEL CASSIDY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL CRONIN,DANIEL CRONIN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL H COHEN,DANIEL H. COHEN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL MC GLYNN,DANIEL MCGLYNN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL O MORALES,DANIEL O. MORALES,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DANIEL R CRENSHAW,DANIEL R. CRENSHAW,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DARIAN CUFF,DARIAN CUFF,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DARYL LANFRANCA,DARYL LANFRANCA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVE FELTON,DAVE FELTON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVE GROHL,DAVE GROHL,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVE RAMSEY,DAVE RAMSEY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID A KSYNIAK,DAVID A. KSYNIAK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID AYELORD,DAVID AYELORD,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID E KISSELBACK,DAVID E. KISSELBACK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID GRAEBER,DAVID GRAEBER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID JABLONKA,DAVID JABLONKA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID ROLDE,DAVID ROLDE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVID TYREE,DAVID TYREE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DAVIS MOSHIER,DAVIS MOSHIER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DEBBIE LANTZ,DEBBIE LANTZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DEER NUTS,DEER NUTS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DEEZ NUTS,DEEZ NUTS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DENISE BOOKER,DENISE BOOKER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DEREK J SMITH,DEREK J. SMITH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DEREK JETER,DEREK JETER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DERRICK A HARRIS,DERRICK A. HARRIS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DEVON BALLOT,DEVON BALLOT,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DOMENICO MEZZINA,DOMENICO MEZZINA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DOMINGO RAMOS,DOMINGO RAMOS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DONALD PAYNE JR,"DONALD PAYNE, JR.",,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DONNA JACKSON,DONNA JACKSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DORIT R KRESSEL,DORIT R. KRESSEL,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DOUG GREEN,DOUG GREEN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DR ANTHONY FAUCI,ANTHONY FAUCI,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DR ANTHONY FAUCI AND DR DEBORAH BIRX,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DR CLAUD ANDERSON,DR. CLAUD ANDERSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DR THEODORE SEUSS,DR. THEODORE SEUSS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DR UMAR JOHNSON,DR. UMAR JOHNSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DWAYNE DE ROCK JOHNSON,DWAYNE DE ROCK JOHNSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DWAYNE JOHNSON,DWAYNE JOHNSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DWAYNE JOHNSON DANIEL NEWKIRK,DWAYNE JOHNSON & DANIEL NEWKIRK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DWAYNE JOHNSON DONALD GLOVER,DWAYNE JOHNSON DONALD GLOVER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DWAYNE THE ROCK JOHNSON,DWAYNE THE ROCK JOHNSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,DYLIE DOLLAS,DYLIE DOLLAS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EDDIE W NIEVES,EDDIE W. NIEVES,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EDMUND BURKE,EDMUND BURKE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EDWARD A DAVIS,EDWARD A. DAVIS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EDWARD SNOWDEN,EDWARD SNOWDEN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EHAB SULEIMAN AND HATEL AL HAJ,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELENA KAGAN,ELENA KAGAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELIDA VASQUEZ,ELIDA VASQUEZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELIYAHU HEMAVI,ELIYAHU HEMAVI,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELIZABETH MCCORD,ELIZABETH MCCORD,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELIZABETH WARREN,ELIZABETH WARREN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELON MUSK,ELON MUSK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ELYA C SWERDLOFF,ELYA C. SWERDLOFF,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EMILE COLANTONI,EMILE COLANTONI,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ERIC COHEN,ERIC COHEN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ERIC VAN TINE,ERIC VAN TINE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EVA GONSHER,EVA GONSHER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EVA SOONE,EVA SOONE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EVAN MCMULLIN,EVAN MCMULLIN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EVELYN AGUASVIVAS,EVELYN AGUASVIVAS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,EVIN GUILFORD,EVIN GUILFORD,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,FLORA PINEIRO,FLORA PINEIRO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,FRANCIS UNDERWOOD,FRANCIS UNDERWOOD,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,FRANK BAGILEO,FRANK BAGILEO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,FRED WILSON,FRED WILSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,G ALAN LESTER,G. ALAN LESTER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,G DENNIS,G. DENNIS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GABRIEL SAROFIEM,GABRIEL SAROFIEM,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GABRIELA CUPO,GABRIELA CUPO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GARY JOHNSON,GARY JOHNSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GARY RICHARD NITSBERG,GARY RICHARD NITSBERG,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GAVIN NEWSON,GAVIN NEWSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GEN MICHAEL HAYDEN,GEN. MICHAEL HAYDEN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GENDER NEUTRAL AND JOHN JEAN,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GENE SASSE,GENE SASSE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GENERAL IRVING HALTER,GENERAL IRVING HALTER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GENERAL JAMES N MATTIS USMC,GENERAL JAMES N. MATTIS USMC,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GEORGE W BUSH,GEORGE W. BUSH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GEORGE WASHINGTON,GEORGE WASHINGTON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GERALD MCCANN AND CHARLES DAVIS,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GIULIANI M SCARPA,GIULIANI M. SCARPA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GLEN PRYOR,GLEN PRYOR,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GLORIA LA RIVA,GLORIA LA RIVA,NON,,,
NEW JERSEY,US PRESIDENT,FEDERAL,GOD,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GODZILLA KING KONG,GODZILLA KING KONG,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GORDON ROBERTSON,GORDON ROBERTSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GOV ANDREW CUOMO,GOV ANDREW CUOMO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GOV PHIL MURPHY,GOV PHIL MURPHY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GREGORY CONILLOU,GREGORY CONILLOU,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GREGORY KING,GREGORY KING,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,GUY FIERI,GUY FIERI,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,H HEITKAMP S BAIR,H. HEITKAMP & S. BAIR,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HARAMBE,HARAMBE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HAROLD EDWARDS,HAROLD EDWARDS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HARRIS COBLE,HARRIS COBLE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HARRY S EISENHOWER,HARRY S. EISENHOWER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HAVARD SHULTZ,HAVARD SHULTZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HEATHER HARDING,HEATHER HARDING,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HECTOR HERNANDEZ,HECTOR HERNANDEZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HERBERT WHITLOCK JR,"HERBERT WHITLOCK, JR.",,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HERSHEL SCHACHTER,HERSHEL SCHACHTER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HILARY CLINTON,HILARY CLINTON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HILDA V PEREZ,HILDA V. PEREZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HILLARY CLINTON,HILLARY CLINTON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HOWARD STERN,HOWARD STERN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HOWARD STERN AND ROBIN QUIVERS,HOWARD STERN AND ROBIN QUIVERS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HUMZA ATA,HUMZA ATA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,HUNTER WEIHENIG,HUNTER WEIHENIG,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ICE CUBE O SHEA JACKSON,ICE CUBE O'SHEA JACKSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,IDK,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,ILHAN OMAR,ILHAN OMAR,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,IOANA GRAFF,IOANA GRAFF,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,IRENA SALAZAR,IRENA SALAZAR,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,IRVING YEE,IRVING YEE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JACK JOHNSON MUSICIAN,JACK JOHNSON MUSICIAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JACK T LOGAN,JACK T. LOGAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JADE SIMMONS,JADE SIMMONS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JADE SIMMONS CLAUDELIAH ROER,JADE SIMMONS - CLAUDELIAH ROER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JADE SIMMONS ROZE,JADE SIMMONS ROZE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES CLAPPSY,JAMES CLAPPSY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES G FUSCO,JAMES G. FUSCO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES HARBAUGH,JAMES HARBAUGH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES HEMSLEY,JAMES HEMSLEY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES MATTIS,JAMES MATTIS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES SHRYEMAN,JAMES SHRYEMAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMES VITERMANKET,JAMES VITERMANKET,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMIE DIMON,JAMIE DIMON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAMIE L THOMPSON,JAMIE L. THOMPSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JANTE BAGH,JANTE BAGH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JASON HERLIHY,JASON HERLIHY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JASON NELMS,JASON NELMS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JASON NELMS JR,JASON NELMS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JASON WHITLOCK,JASON WHITLOCK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAY OLESON,JAY OLESON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAY WILGHT,JAY WILGHT,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JAY Z,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JEB BUSH,JEB BUSH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JEB BUSH AND NIKKI HALEY,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JED GROSSMAN,JED GROSSMAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JEFF FLAKE,JEFF FLAKE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JEFF MACKLER,JEFF MACKLER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JELLO BIAFRA AND STZA CRACK,JELLO BIAFRA AND STZA CRACK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JENNIFER SLOLO,JENNIFER SLOLO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESSE VENTURA,JESSE VENTURA,GREEN PARTY OF ALASKA,,,
NEW JERSEY,US PRESIDENT,FEDERAL,JESSE VENTURA AND CYNTHIA MC KINNEY,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESSE VENTURA AND NINA TURNER,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESSE VENTURA2,JESSE VENTURA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESSICA ANN KASPEROWICZ,JESSICA ANN KASPEROWICZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESUS,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESUS 2020,JESUS 2020,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JESUS CHRIST,JESUS CHRIST,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JILL STEIN,JILL STEIN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JIM FELLS RICH TARTLETON,JIM FELLS - RICH TARTLETON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JIM GRAY,JIM GRAY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JIM LAHEY AND RANDY BOBANDY,JIM LAHEY AND RANDY BOBANDY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JIM MATTIS,JIM MATTIS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JIMMY CARTER,JIMMY CARTER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JINXIE PEPPERSON,JINXIE PEPPERSON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOE C,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOE EXOTIC,JOE EXOTIC,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOE ROGAN,JOE ROGAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOE SHIT THE RAG MAN,JOE SHIT THE RAG MAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOE TUCKER,JOE TUCKER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOEL D MATALON,JOEL D. MATALON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN DE PALMA,JOHN DE PALMA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN DEBERRY,JOHN DEBERRY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN DOE,JOHN DOE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN F SHANNON,JOHN F. SHANNON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN FLANAGAN,JOHN FLANAGAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN HUNTSMAN JR,"JOHN HUNTSMAN, JR.",,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN J JOHNSON JR,"JOHN J. JOHNSON, JR.",,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASIC TULSI GABBARD,JOHN KASIC & TULSI GABBARD,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASICH,JOHN KASICH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASICH AND AMY KLOBUCHAR,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASICH AND COLIN POWELL,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASICH AND MARK RUBIO,JOHN KASICH AND MARK RUBIO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASICH AND PAUL RYAN,JOHN KASICH AND PAUL RYAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASICH AND SCOTT WALKER,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KASTCH,JOHN KASTCH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN KOVACS,JOHN KOVACS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN MONDS,JOHN MONDS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN P MIICHALSKI,JOHN P. MIICHALSKI,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN R KASICH,"JOHN R. KASICH, JR.",,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN R KASICH JR,"JOHN R. KASICH, JR.",,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN S MC CAIN,JOHN S. MCCAIN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOHN THUNE,JOHN THUNE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JON MBACHUM,JON MBACHUM,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JONATHAN LOPES,JONATHAN LOPES,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JORGE DE ARMAS,JORGE DEARMAS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSEPH A NALIETH,JOSEPH A. NALIETH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSEPH JAMES ROGAN,JOSEPH JAMES ROGAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSEPH KISHORE NORISSA SANTA CRUZ,JOSEPH KISHORE NORISSA SANTA CRUZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSEPH ROGAN,JOSEPH ROGAN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSH ALLEN,JOSH ALLEN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSH HAWBEY,JOSH HAWBEY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSHUA ROBERT KREUTZ,JOSHUA ROBERT KREUTZ,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JOSIAH NIMEY,JOSIAH NIMEY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUDGE JUDY SCHEINLAND,JUDGE JUDY SCHEINLAND,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUDY SHEIMEIN,JUDY SHEIMEIN,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUSTIN AMASH,JUSTIN AMASH,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUSTIN BRYANT,JUSTIN BRYANT,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUSTIN J WADE,JUSTIN J. WADE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUSTIN LEON,JUSTIN LEON,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUSTIN MOORE,JUSTIN MOORE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,JUSTIN PUGLISE,JUSTIN PUGLISE,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KALEIGH MCENANY,KALEIGH MCENANY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KAMAL HAJDAUOUD JAMES HORNICK,KAMAL HAJDAUOUD - JAMES HORNICK,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KAMALA D HARRIS,KAMALA D. HARRIS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KANYE WEST,KANYE WEST,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KAREEN ABDULLAH PITTS,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KATHERINE MORALES,KATHERINE MORALES,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KATHLEEN CAMPISANO DAVID CAMPISANO,KATHLEEN CAMPISANO DAVID CAMPISANO,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KATHLEEN J MILLER,KATHLEEN J. MILLER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KATT WILLIAMS,KATT WILLIAMS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KEN HAROLD,KEN HAROLD,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KEVIN BEGLEY,KEVIN BEGLEY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KIWI JAVA,KIWI JAVA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KRISTA NOEM,KRISTA NOEM,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KRISTEN BURNS,KRISTEN BURNS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KRISTEN DAY,KRISTEN DAY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KRYSTAL M GILBERT,KRYSTAL M. GILBERT,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,KWESI TACUMA MOODY,KWESI TACUMA MOODY,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,LA VAR REYNOLDS,LAVAR REYNOLDS,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,LAITH FAOURI ASHER MAPLEWOOD FOR THE PEOPLE,,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,LAMAR E MILLER,LAMAR E. MILLER,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,LANA CELLA,LANA CELLA,,,yes,
NEW JERSEY,US PRESIDENT,FEDERAL,LANDO NORRIS AND CHARLES LECLERC,,,,yes,
